sentence,sentiment
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
This movie was excellent and I loved it,1
"Terrible film, waste of time",0
Amazing performance by the actors,1
Boring and predictable plot,0
One of the best movies I've seen,1
Completely disappointed with this movie,0
Fantastic storyline and direction,1
Poor acting and bad script,0
"Highly recommended, must watch",1
Not worth watching at all,0
